id,Title,Категории нападений,Регионы,Количество пострадавших,Пол,Возраст,Гражданство,Категория пострадавшего,Дата нападения - от,Дата нападения - до,Время суток,Точное время,Тип места нападения,Маркер_lat,Маркер_lng,Характер нападения,Использование оружия,Категория оружия,Кража имущества,Выкрики при нападении,Соотношение агрессоров и жертв,Количество нападавших
534,msk_2011_05_001,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Нет данных,Темнокожие,02.05.2011,02.05.2011,Ночь,до 03:30,Публичное помещение,55.80884023,37.46258497,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",2
535,msk_2011_05_002,Пострадавший жив - Виновный найден,Москва,1,Мужской,Взрослые,Нет данных,Люди «неславянской внешности»,26.05.2011,26.05.2011,Нет данных,Нет данных,Салон транспортного средства,55.75959733,37.62733698,Избиение / ранение,Да,Нож,Кражи имущества не было,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших столько же, сколько жертв",1
536,msk_2011_05_003,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Россия,Выходцы с Кавказа,25.05.2011,25.05.2011,Нет данных,Нет данных,"Парк, лесополоса",55.79580105,37.67659307,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",15-20
537,msk_2011_05_004,Пострадавший жив - Виновный найден,Москва,1,Женский,Взрослые,Россия,ЛГБТ,28.05.2011,28.05.2011,День,13:00,Улица,55.75609485,37.61659741,Избиение / ранение,Нет информации,Нет данных,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших столько же, сколько жертв",1
538,mo_2011_05_003,Пострадавший жив - Виновный найден,Московская область,2,"Мужской, Женский",Взрослые,"Кыргызстан, Узбекистан",Выходцы из Центральной Азии,03.05.2011,03.05.2011,Нет данных,Нет данных,Частное помещение,54.87234314,37.21648693,Избиение / ранение,Да,"Палка, Пневматическое оружие",Кражи имущества не было,Нападению сопутствовали выкрики,"Нападавших столько же, сколько жертв",2
540,msk_2011_08_001,Пострадавший жив - Виновный не найден,Москва,2,"Мужской, Женский",Взрослые,"Армения, Украина",Выходцы с Кавказа,19.08.2011,19.08.2011,Ночь,04:00,Улица,55.87396761,37.55144119,Избиение / ранение,Да,Травматическое оружие,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",3
541,mo_2011_04_001,Пострадавший жив - Виновный не найден,Московская область,1,Мужской,Взрослые,Нет данных,Выходцы из Центральной Азии,30.04.2011,30.04.2011,Вечер,18:00,Вблизи транспортных путей,55.66814815,38.0007112,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",Несколько человек
542,mo_2011_05_004,Пострадавший жив - Виновный найден,Московская область,1,Мужской,Взрослые,Нет данных,Выходцы из Центральной Азии,01.05.2011,01.05.2011,Нет данных,Нет данных,"Парк, лесополоса",55.39418383,39.13712025,Избиение / ранение,Да,Автоключ,О краже имущества нет информации,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",2
543,mo_2011_06_001,Пострадавший жив - Виновный не найден,Московская область,1,Мужской,Взрослые,Нет данных,Религиозные группы,01.06.2011,26.06.2011,Нет данных,Нет данных,Салон транспортного средства,55.6554513,37.95395494,Избиение / ранение,Да,Нож,Кражи имущества не было,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",6
544,mo_2011_08_001,Пострадавший жив - Виновный не найден,Московская область,1,Мужской,Взрослые,Нет данных,Выходцы из Центральной Азии,15.08.2011,15.08.2011,Нет данных,Нет данных,Вблизи транспортных путей,55.14877393,37.48977184,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",3
545,mo_2011_11_001,Пострадавший жив - Виновный не найден,Московская область,1,Женский,Взрослые,Таджикистан,Выходцы из Центральной Азии,11.11.2011,11.11.2011,Нет данных,Нет данных,Публичное помещение,55.88134926,37.42458344,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,Оскорбление в адрес этнической / расовой принадлежности,Нет информации,3
546,msk_2010_01_001,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Гана,Темнокожие,10.01.2010,10.01.2010,Вечер,Нет данных,Салон транспортного средства,55.70591681,37.84731567,Избиение / ранение,Да,Нож,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",3
547,msk_2010_01_002,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Таджикистан,Выходцы из Центральной Азии,22.01.2010,22.01.2010,Нет данных,Нет данных,Салон транспортного средства,55.68300484,37.62176871,Избиение / ранение,Да,Кастет,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",4
556,msk_2010_01_003,Пострадавший жив - Виновный найден,Москва,1,Мужской,Взрослые,Кыргызстан,Выходцы из Центральной Азии,31.01.2010,31.01.2010,Вечер,20:30,Улица,55.57543549,37.58844495,Избиение / ранение,Нет информации,Нет данных,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",10
557,msk_2010_01_004,Пострадавший жив - Виновный найден,Москва,1,Мужской,Молодые люди,Россия,Выходцы с Кавказа,23.01.2010,23.01.2010,Нет данных,Нет данных,Улица,55.64666356,37.49009371,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",8
558,msk_2010_03_002,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Молодые люди,Корея,Из других стран Азии,07.03.2010,07.03.2010,Вечер,17:00,Улица,55.65735387,37.4932158,Избиение / ранение,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",2
559,msk_2010_03_003,Пострадавший жив - Виновный не найден,Москва,2,Женский,Взрослые,Нет данных,Религиозные группы,29.03.2010,29.03.2010,День,Нет данных,Салон транспортного средства,55.70740185,37.65730262,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших меньше, чем жертв",1
560,msk_2010_03_004,Пострадавший жив - Виновный не найден,Москва,1,Женский,Молодые люди,Россия,Выходцы с Кавказа,29.03.2010,29.03.2010,Нет данных,Нет данных,Вблизи транспортных путей,55.70710464,37.65716314,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",Несколько человек
561,msk_2010_04_004,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Нет данных,Люди «неславянской внешности»,03.04.2010,03.04.2010,Ночь,02:00,Улица,55.75419683,37.63713241,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",20
563,msk_2010_04_005,Пострадавший жив - Виновный не найден,Москва,3,Мужской,Взрослые,Нет данных,Выходцы из Центральной Азии,18.04.2010,18.04.2010,Ночь,04:06,Частное помещение,55.84486569,37.45261788,Избиение / ранение,Да,Взрывное устройство,Кражи имущества не было,Нападение не сопровождалось выкриками,"Нападавших меньше, чем жертв",2
564,msk_2010_01_005,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Конго,Темнокожие,21.01.2010,21.01.2010,Нет данных,Нет данных,Вблизи транспортных путей,55.7648399,37.63897777,Избиение / ранение,Нет информации,Нет данных,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",3
565,mo_2010_02_001,Пострадавший жив - Виновный не найден,Московская область,1,Мужской,Взрослые,Гана,Темнокожие,14.02.2010,14.02.2010,Нет данных,Нет данных,Салон транспортного средства,55.5647653,38.2277441,Избиение / ранение,Да,Огнестрельное оружие,О краже имущества нет информации,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",2
566,msk_2010_03_005,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Камерун,Темнокожие,05.03.2010,05.03.2010,Нет данных,Нет данных,Улица,55.71445855,37.89901257,Избиение / ранение,Да,Нож,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",2
568,msk_2010_03_006,Пострадавший жив - Виновный не найден,Московская область,3,Мужской,Взрослые,"Гана, Нигерия",Темнокожие,21.03.2010,21.03.2010,Нет данных,Нет данных,Салон транспортного средства,55.56063555,38.23883772,Избиение / ранение,Да,Нож,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",6
569,msk_2010_04_006,Пострадавший жив - Виновный не найден,Москва,2,Мужской,Взрослые,Нет данных,Выходцы с Кавказа,17.04.2010,17.04.2010,Утро,Нет данных,Вблизи транспортных путей,55.86031905,37.43664265,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",8
570,msk_2010_05_004,Пострадавший жив - Виновный найден,Москва,4,"Мужской, Женский","Молодые люди, Взрослые",Нет данных,"Из молодежных субкультур, антифашисты",01.05.2010,01.05.2010,День,15:40,Салон транспортного средства,55.80783134,37.63875246,Избиение / ранение,Да,Нож,Кражи имущества не было,Нападению сопутствовали выкрики,"Нападавших меньше, чем жертв",2
571,msk_2010_05_005,Пострадавший жив - Виновный не найден,Москва,3,Мужской,Взрослые,Нет данных,Люди «неславянской внешности»,04.05.2010,05.05.2010,Ночь,Около полуночи,Вблизи транспортных путей,55.79351417,37.49358594,Избиение / ранение,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько человек
572,msk_2010_06_001,Пострадавший жив - Виновный не найден,Москва,1,Женский,Взрослые,Россия,Люди «неславянской внешности»,13.06.2010,13.06.2010,Вечер,22:30,Вблизи транспортных путей,55.88699664,37.6616317,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",Несколько человек
573,msk_2010_07_001,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Нет данных,Люди «неславянской внешности»,14.07.2010,14.07.2010,Нет данных,Нет данных,Вблизи транспортных путей,55.76482758,37.63879001,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько человек
575,msk_2010_09_002,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Кыргызстан,Выходцы из Центральной Азии,26.09.2010,27.09.2010,Ночь,Нет данных,Улица,55.58009028,37.68456995,Избиение / ранение,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько человек
597,msk_2010_10_001,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Нет данных,Выходцы из Центральной Азии,19.10.2010,19.10.2010,День,16:30,Улица,55.67648541,37.49720693,Избиение / ранение,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",5-6
598,msk_2010_10_002,Пострадавший жив - Виновный найден,Москва,1,Мужской,Молодые люди,Узбекистан,Выходцы из Центральной Азии,18.10.2010,18.10.2010,Нет данных,Нет данных,Улица,55.79710577,37.46320724,Избиение / ранение,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",2
599,msk_2010_03_007,Пострадавший жив - Виновный не найден,Москва,2,Мужской,Взрослые,Сьерра-Леоне,Темнокожие,01.03.2010,31.03.2010,Нет данных,Нет данных,Улица,55.77019644,37.59568691,Избиение / ранение,Нет информации,Нет данных,Кражи имущества не было,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",Около 15
600,msk_2010_08_001,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Нигерия,Темнокожие,01.08.2010,31.08.2010,Нет данных,Нет данных,Улица,55.75719463,37.61509538,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",2
602,msk_2010_10_003,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Кыргызстан,Выходцы из Центральной Азии,07.11.2010,07.11.2010,Ночь,Нет данных,Салон транспортного средства,55.74673692,37.6795435,Избиение / ранение,Да,"Нож, Травматическое оружие",Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",2
603,msk_2010_11_001,Пострадавший жив - Виновный не найден,Москва,2,Мужской,Взрослые,Россия,Люди «неславянской внешности»,20.11.2010,20.11.2010,Утро,06:30,Улица,55.6536707,37.5666225,Избиение / ранение,Да,"Бита, Травматическое оружие",Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",3
604,msk_2010_12_003,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Азербайджан,Выходцы с Кавказа,13.12.2010,13.12.2010,Ночь,04:00,Публичное помещение,55.80801825,37.71366119,Избиение / ранение,Да,Травматическое оружие,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",3
605,msk_2010_12_004,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Нет данных,Выходцы с Кавказа,11.12.2010,11.12.2010,Вечер,Нет данных,Вблизи транспортных путей,55.75165819,37.71633267,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько человек
606,msk_2010_12_005,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Узбекистан,Выходцы из Центральной Азии,11.12.2010,11.12.2010,Нет данных,18:15,Вблизи транспортных путей,55.74072841,37.6255922,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",Несколько человек
607,msk_2010_12_006,Пострадавший жив - Виновный не найден,Москва,10,Мужской,"Молодые люди, Взрослые",Нет данных,"Выходцы с Кавказа, Люди «неславянской внешности»",11.12.2010,11.12.2010,День,Нет данных,Улица,55.75610793,37.61574984,Избиение / ранение,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько человек
608,msk_2010_12_007,Пострадавший жив - Виновный найден,Москва,1,Мужской,Взрослые,Россия,Русские,15.12.2010,15.12.2010,Нет данных,Нет данных,Вблизи транспортных путей,55.73542471,37.59311199,Избиение / ранение,Да,Травматическое оружие,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",3
609,msk_2010_12_008,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Взрослые,Кыргызстан,Выходцы из Центральной Азии,16.12.2010,16.12.2010,Вечер,22:00,Улица,55.60962447,37.72285581,Избиение / ранение,Да,Труба,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",3
611,msk_2010_12_009,Пострадавший жив - Виновный не найден,Москва,1,Мужской,Молодые люди,Нет данных,Выходцы из Центральной Азии,19.12.2010,19.12.2010,Вечер,20:00,Улица,55.71636229,37.7421248,Избиение / ранение,Нет информации,Нет данных,Кражи имущества не было,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",Несколько человек
612,mo_2010_12_001,Пострадавший жив - Виновный найден,Московская область,1,Мужской,Взрослые,Нет данных,Выходцы с Кавказа,01.12.2010,31.12.2010,Нет данных,Нет данных,Салон транспортного средства,55.78647175,38.46109629,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",3
626,msk_2010_12_010,Пострадавший жив - Виновный не найден,Москва,1,Женский,Взрослые,Россия,Выходцы с Кавказа,18.12.2010,18.12.2010,Вечер,22:00,Салон транспортного средства,55.70552488,37.76568532,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",Несколько человек
627,mo_2010_01_001,Пострадавший жив - Виновный найден,Московская область,1,Мужской,Взрослые,Кыргызстан,Выходцы из Центральной Азии,13.01.2010,13.01.2010,Нет данных,Нет данных,Публичное помещение,55.38935366,39.02683318,Избиение / ранение,Да,Арматура,Кражи имущества не было,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",2
628,mo_2010_02_002,Пострадавший жив - Виновный найден,Московская область,3,Мужской,Взрослые,"Таджикистан, Нет данных",Выходцы из Центральной Азии,07.02.2010,07.02.2010,Нет данных,Нет данных,Вблизи транспортных путей,55.97069024,37.50472784,Избиение / ранение,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Около 10
629,msk_2010_03_008,Пострадавший жив - Виновный найден,Москва,1,Мужской,Взрослые,Нет данных,Выходцы из Центральной Азии,01.03.2010,31.03.2010,Нет данных,Нет данных,Салон транспортного средства,55.73067206,37.77441591,Избиение / ранение,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько человек
630,mo_2010_03_002,Пострадавший жив - Виновный найден,Московская область,1,Мужской,Молодые люди,Россия,Выходцы с Кавказа,01.03.2010,31.03.2010,Нет данных,Нет данных,Частное помещение,54.85243424,38.54817152,Избиение / ранение,Да,Нож,Кражи имущества не было,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших столько же, сколько жертв",1
631,mo_2010_04_001,Пострадавший жив - Виновный найден,Московская область,1,Мужской,Взрослые,Кыргызстан,Выходцы из Центральной Азии,06.04.2010,06.04.2010,Нет данных,Нет данных,Улица,55.59277823,38.49046111,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",2
632,mo_2010_06_001,Пострадавший жив - Виновный найден,Московская область,2,Мужской,Взрослые,Узбекистан,Выходцы из Центральной Азии,08.06.2010,08.06.2010,Вечер,Нет данных,Частное помещение,54.77142904,38.89079422,Избиение / ранение,Нет информации,Нет данных,Кража имущества была,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",4
633,mo_2010_08_001,Пострадавший жив - Виновный найден,Московская область,1,Мужской,Взрослые,Таджикистан,Выходцы из Центральной Азии,03.08.2010,03.08.2010,Нет данных,Нет данных,Улица,56.08536113,37.49701381,Избиение / ранение,Да,Нож,Кражи имущества не было,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших столько же, сколько жертв",1
644,mo_2010_09_001,Пострадавший жив - Виновный не найден,Московская область,5,Мужской,Взрослые,Таджикистан,Выходцы из Центральной Азии,17.09.2010,18.09.2010,Ночь,Нет данных,Улица,55.41781127,37.83416748,Избиение / ранение,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько человек
645,mo_2010_09_002,Пострадавший жив - Виновный найден,Московская область,1,Мужской,Молодые люди,Нет данных,Выходцы с Кавказа,30.09.2010,30.09.2010,Вечер,21:00,Улица,56.02463989,37.48200417,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,Иные оскорбления,"Нападавших больше, чем жертв",4
646,mo_2010_12_002,Пострадавший жив - Виновный не найден,Московская область,3,Мужской,Взрослые,Нет данных,Люди «неславянской внешности»,15.12.2010,31.12.2010,Вечер,21:00,Вблизи транспортных путей,54.90877426,38.07897806,Избиение / ранение,Да,Нож,О краже имущества нет информации,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",6-7
738,spb_2014_02_001,Летальный исход - Виновный не найден,Санкт-Петербург,1,Мужской,Взрослые,Россия,Выходцы с Кавказа,18.02.2014,18.02.2014,Вечер,18:30,Улица,60.01086296,30.260607,Убийство,Да,Травматическое оружие,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",2
739,spb_2014_04_001,Летальный исход - Виновный найден,Санкт-Петербург,1,Мужской,Взрослые,Нет данных,Бездомные,28.04.2014,28.04.2014,Нет данных,Нет данных,"Парк, лесополоса",59.83565763,30.24539888,Убийство,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",3
742,spb_2014_06_001,Летальный исход - Виновный найден,Санкт-Петербург,1,Мужской,Взрослые,Узбекистан,Выходцы из Центральной Азии,30.06.2014,30.06.2014,Утро,06:50,Вблизи транспортных путей,59.99730585,29.76614714,Убийство,Да,Огнестрельное оружие,Кражи имущества не было,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших столько же, сколько жертв",1
743,spb_2014_06_002,Пострадавший жив - Виновный найден,Санкт-Петербург,1,Мужской,Взрослые,Узбекистан,Выходцы из Центральной Азии,30.06.2014,30.06.2014,Утро,06:50,Вблизи транспортных путей,59.99735614,29.7659044,Избиение / ранение,Да,Огнестрельное оружие,Кражи имущества не было,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших столько же, сколько жертв",1
745,spb_2014_01_001,Пострадавший жив - Виновный найден,Санкт-Петербург,1,Мужской,Взрослые,Нет данных,Люди «неславянской внешности»,23.01.2014,23.01.2014,Вечер,18:00 &#8212; 20:00,Улица,60.02445629,30.39489985,Избиение / ранение,Да,"Газовый баллончик, Палка",Кражи имущества не было,Нападению сопутствовали выкрики,"Нападавших больше, чем жертв",5
746,spb_2014_05_001,Пострадавший жив - Виновный не найден,Санкт-Петербург,3,Мужской,Взрослые,Замбия,Темнокожие,25.05.2014,25.05.2014,Ночь,03:00,Улица,59.93521317,30.32662153,Избиение / ранение,Да,Пневматическое оружие,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",2
747,spb_2013_01_001,Летальный исход - Виновный найден,Санкт-Петербург,1,Мужской,Взрослые,Узбекистан,Выходцы из Центральной Азии,02.01.2013,02.01.2013,Вечер,Нет данных,Улица,59.84728139,30.11635244,Убийство,Да,"Палка, Травматическое оружие",Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",3
748,spb_2013_11_001,Летальный исход - Виновный найден,Санкт-Петербург,1,Мужской,Взрослые,Узбекистан,Выходцы из Центральной Азии,04.11.2013,04.11.2013,День,17:30,Улица,59.82964607,30.50998271,Убийство,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",7
749,spb_2013_02_001,Пострадавший жив - Виновный не найден,Санкт-Петербург,1,Женский,Дети,Россия,Другие или неизвестно,11.02.2013,11.02.2013,День,Нет данных,Улица,59.82956249,30.21017075,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько человек
750,spb_2013_03_001,Пострадавший жив - Виновный не найден,Санкт-Петербург,1,Мужской,Молодые люди,Таджикистан,Выходцы из Центральной Азии,09.03.2013,09.03.2013,Вечер,18:30,Улица,60.01497229,30.3906244,Избиение / ранение,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько человек
751,spb_2013_04_001,Пострадавший жив - Виновный не найден,Санкт-Петербург,2,Мужской,Взрослые,Нет данных,Люди «неславянской внешности»,21.04.2013,21.04.2013,Нет данных,Нет данных,Улица,59.92769549,30.30092061,Избиение / ранение,Да,Нож,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",3
752,spb_2013_05_001,Пострадавший жив - Виновный не найден,Санкт-Петербург,2,Мужской,Взрослые,Узбекистан,Выходцы из Центральной Азии,03.05.2013,03.05.2013,Вечер,20:30,Улица,59.8340843,30.25862217,Избиение / ранение,Да,Палка,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",10
753,spb_2013_07_001,Пострадавший жив - Виновный не найден,Санкт-Петербург,2,Мужской,Взрослые,Россия,ЛГБТ,04.07.2013,04.07.2013,День,14:00,Улица,59.94666247,30.34362137,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",20
754,spb_2013_09_001,Пострадавший жив - Виновный найден,Санкт-Петербург,1,Мужской,Дети,Россия,Русские,24.09.2013,24.09.2013,Нет данных,Нет данных,"Парк, лесополоса",59.84585683,30.23288369,Избиение / ранение,Нет информации,Нет данных,Кражи имущества не было,Оскорбление в адрес этнической / расовой принадлежности,"Нападавших больше, чем жертв",2
755,spb_2013_11_002,Пострадавший жив - Виновный не найден,Санкт-Петербург,3,Мужской,Взрослые,Нет данных,Люди «неславянской внешности»,04.11.2013,04.11.2013,День,15:30,Салон транспортного средства,60.01672919,30.31494856,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Около 10
756,spb_2013_11_003,Пострадавший жив - Виновный не найден,Санкт-Петербург,2,"Мужской, Женский",Взрослые,Россия,ЛГБТ,03.11.2013,03.11.2013,Вечер,19:20,Улица,59.92475999,30.33119738,Избиение / ранение,Да,Травматическое оружие,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",2
757,spb_2013_11_004,Пострадавший жив - Виновный не найден,Санкт-Петербург,1,Мужской,Взрослые,Россия,Люди «неславянской внешности»,01.11.2013,24.11.2013,Нет данных,Нет данных,Улица,59.8448436,30.26705503,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",10-15
758,spb_2013_11_006,Пострадавший жив - Виновный не найден,Санкт-Петербург,1,Мужской,Взрослые,Нет данных,Люди «неславянской внешности»,04.11.2013,04.11.2013,Вечер,Нет данных,Улица,59.96265915,30.35207838,Избиение / ранение,Нет информации,Нет данных,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",8
759,spb_2013_12_001,Пострадавший жив - Виновный найден,Санкт-Петербург,2,Мужской,Взрослые,Узбекистан,Выходцы из Центральной Азии,14.12.2013,14.12.2013,День,16:00,Улица,59.96490974,30.34357309,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",9
760,spb_2012_05_001,Пострадавший жив - Виновный не найден,Санкт-Петербург,1,Мужской,Молодые люди,Нет данных,"Из молодежных субкультур, антифашисты",01.05.2012,08.05.2012,Нет данных,Нет данных,"Парк, лесополоса",59.88118621,30.43705881,Избиение / ранение,Да,Травматическое оружие,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Несколько человек
761,spb_2012_05_002,Пострадавший жив - Виновный найден,Санкт-Петербург,1,Мужской,Молодые люди,Россия,ЛГБТ,17.05.2012,17.05.2012,День,Нет данных,"Парк, лесополоса",59.95544895,30.27881384,Избиение / ранение,Да,Газовый пистолет,Кражи имущества не было,Оскорбление в адрес сексуальной ориентации,"Нападавших столько же, сколько жертв",1
762,spb_2012_05_003,Пострадавший жив - Виновный не найден,Санкт-Петербург,5,Мужской,Взрослые,Нет данных,Выходцы из Центральной Азии,17.05.2012,17.05.2012,День,Нет данных,Улица,59.95544179,30.28448671,Избиение / ранение,Нет информации,Нет данных,О краже имущества нет информации,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Больше 10
763,spb_2012_06_001,Пострадавший жив - Виновный найден,Санкт-Петербург,5,"Мужской, Женский","Молодые люди, Взрослые",Россия,ЛГБТ,12.06.2012,12.06.2012,День,17:15,Улица,59.9381164,30.32779098,Избиение / ранение,Да,Газовый баллончик,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",Около 10
767,spb_2012_08_001,Пострадавший жив - Виновный найден,Санкт-Петербург,1,Мужской,Взрослые,Нет данных,Выходцы из Центральной Азии,13.08.2012,13.08.2012,Ночь,03:00,Публичное помещение,59.84417547,30.38053393,Избиение / ранение,Нет,Не применялось,Кражи имущества не было,О выкриках при нападении нет информации,"Нападавших больше, чем жертв",2
